Investor.Name,Portfolio.Name,Scenario,Allocation,ScenarioGeography,Sector,Technology,Asset.Type,Year,Scen.Alloc.WtTechProd,Plan.Alloc.WtTechProd,Trajectory.Alignment,Trajectory.Deviation
Investor 1,Portfolio 1,CPS,PortfolioWeight,Global,Coal,Coal,Bonds,2021,496900.337432234,496165.262669418,0.00147932031323523,-0.00147932031323523
Investor 1,Portfolio 1,CPS,PortfolioWeight,Global,Oil&Gas,Gas,Bonds,2021,225546.210381522,216657.886705746,0.0394079938684904,-0.0394079938684904
Investor 1,Portfolio 1,CPS,PortfolioWeight,Global,Oil&Gas,Oil,Bonds,2021,208930.84170912,206759.141629477,0.0103943489715423,-0.0103943489715423
Investor 1,Portfolio 1,CPS,PortfolioWeight,Global,Coal,Coal,Bonds,2022,502114.89176768,501012.279655457,0.00219593589097035,-0.00219593589097035
Investor 1,Portfolio 1,CPS,PortfolioWeight,Global,Oil&Gas,Gas,Bonds,2022,233977.741124823,215037.676052269,0.0809481490910298,-0.0809481490910298
Investor 1,Portfolio 1,CPS,PortfolioWeight,Global,Oil&Gas,Oil,Bonds,2022,214891.663999849,202286.309655731,0.0586591127337837,-0.0586591127337837
Investor 1,Portfolio 1,CPS,PortfolioWeight,Global,Coal,Coal,Bonds,2023,507329.446103125,505859.296309578,0.00289782074515768,-0.00289782074515768
Investor 1,Portfolio 1,CPS,PortfolioWeight,Global,Oil&Gas,Gas,Bonds,2023,242409.271868124,209666.489081124,0.13507232019084,-0.13507232019084
Investor 1,Portfolio 1,CPS,PortfolioWeight,Global,Oil&Gas,Oil,Bonds,2023,220852.486290578,198505.03282312,0.101187239694708,-0.101187239694708
Investor 1,Portfolio 1,CPS,PortfolioWeight,Global,Coal,Coal,Bonds,2024,512544.000438571,510706.313286036,0.00358542320456955,-0.00358542320456955
Investor 1,Portfolio 1,CPS,PortfolioWeight,Global,Oil&Gas,Gas,Bonds,2024,250840.802611424,206317.445626004,0.177496469959839,-0.177496469959839
Investor 1,Portfolio 1,CPS,PortfolioWeight,Global,Oil&Gas,Oil,Bonds,2024,226813.308581306,194313.837197021,0.143287321134573,-0.143287321134573
Investor 1,Portfolio 1,CPS,PortfolioWeight,GlobalAggregate,Power,CoalCap,Bonds,2019,168.312842025646,168.312842025646,0,0
Investor 1,Portfolio 1,CPS,PortfolioWeight,GlobalAggregate,Power,GasCap,Bonds,2019,171.610671051558,171.610671051558,0,0
Investor 1,Portfolio 1,CPS,PortfolioWeight,GlobalAggregate,Power,HydroCap,Bonds,2019,206.401722363167,206.401722363167,0,0
Investor 1,Portfolio 1,CPS,PortfolioWeight,GlobalAggregate,Power,NuclearCap,Bonds,2019,298.527394140739,298.527394140739,0,0
Investor 1,Portfolio 1,CPS,PortfolioWeight,GlobalAggregate,Power,OilCap,Bonds,2019,26.0195345759933,26.0195345759933,0,0
Investor 1,Portfolio 1,CPS,PortfolioWeight,GlobalAggregate,Power,RenewablesCap,Bonds,2019,95.5836055151772,95.5836055151772,0,0
Investor 1,Portfolio 1,CPS,PortfolioWeight,GlobalAggregate,Power,CoalCap,Bonds,2020,168.048785566395,172.908325754616,-0.0289174371111462,0.0289174371111462
Investor 1,Portfolio 1,CPS,PortfolioWeight,GlobalAggregate,Power,GasCap,Bonds,2020,177.097824901284,187.894149971409,-0.060962493899307,0.060962493899307
Investor 1,Portfolio 1,CPS,PortfolioWeight,GlobalAggregate,Power,HydroCap,Bonds,2020,207.335121783998,208.847257570402,0.00729319650907425,0.00729319650907425
Investor 1,Portfolio 1,CPS,PortfolioWeight,GlobalAggregate,Power,NuclearCap,Bonds,2020,292.6485170432,304.653308610816,0.0410211939185836,0.0410211939185836
Investor 1,Portfolio 1,CPS,PortfolioWeight,GlobalAggregate,Power,OilCap,Bonds,2020,25.0861823790955,26.0195345759933,0.0372058284035898,0.0372058284035898
Investor 1,Portfolio 1,CPS,PortfolioWeight,GlobalAggregate,Power,RenewablesCap,Bonds,2020,110.433502978218,107.973563113653,-0.0222753041262315,-0.0222753041262315
Investor 1,Portfolio 1,CPS,PortfolioWeight,GlobalAggregate,Power,CoalCap,Bonds,2021,167.784729107144,176.567447974398,-0.0523451622444488,0.0523451622444488
Investor 1,Portfolio 1,CPS,PortfolioWeight,GlobalAggregate,Power,GasCap,Bonds,2021,182.58497875101,187.930822602806,-0.0292786618503092,0.0292786618503092
Investor 1,Portfolio 1,CPS,PortfolioWeight,GlobalAggregate,Power,HydroCap,Bonds,2021,208.26852120483,217.474189725346,0.0442009597382304,0.0442009597382304
Investor 1,Portfolio 1,CPS,PortfolioWeight,GlobalAggregate,Power,NuclearCap,Bonds,2021,286.769639945662,305.066951884662,0.0638049130391461,0.0638049130391461
Investor 1,Portfolio 1,CPS,PortfolioWeight,GlobalAggregate,Power,OilCap,Bonds,2021,24.1528301821977,26.0195345759933,0.0772871907645618,0.0772871907645618
Investor 1,Portfolio 1,CPS,PortfolioWeight,GlobalAggregate,Power,RenewablesCap,Bonds,2021,125.283400441259,118.288762582207,-0.0558305237119753,-0.0558305237119753
Investor 1,Portfolio 1,CPS,PortfolioWeight,GlobalAggregate,Power,CoalCap,Bonds,2022,167.520672647893,179.988382837182,-0.0744249052503196,0.0744249052503196
Investor 1,Portfolio 1,CPS,PortfolioWeight,GlobalAggregate,Power,GasCap,Bonds,2022,188.072132600735,188.707015781996,-0.00337574297946647,0.00337574297946647
Investor 1,Portfolio 1,CPS,PortfolioWeight,GlobalAggregate,Power,HydroCap,Bonds,2022,209.201920625662,220.074390501658,0.0519711761893959,0.0519711761893959
Investor 1,Portfolio 1,CPS,PortfolioWeight,GlobalAggregate,Power,NuclearCap,Bonds,2022,280.890762848123,305.182345723657,0.0864805329631579,0.0864805329631579
Investor 1,Portfolio 1,CPS,PortfolioWeight,GlobalAggregate,Power,OilCap,Bonds,2022,23.2194779852999,26.0195345759933,0.120590850167521,0.120590850167521
Investor 1,Portfolio 1,CPS,PortfolioWeight,GlobalAggregate,Power,RenewablesCap,Bonds,2022,140.1332979043,125.508155434946,-0.104365933636576,-0.104365933636576
Investor 1,Portfolio 1,CPS,PortfolioWeight,GlobalAggregate,Power,CoalCap,Bonds,2023,167.256616188642,180.911804327042,-0.0816421403802528,0.0816421403802528
Investor 1,Portfolio 1,CPS,PortfolioWeight,GlobalAggregate,Power,GasCap,Bonds,2023,193.559286450461,192.04805406771,0.00780759430593415,-0.00780759430593415
Investor 1,Portfolio 1,CPS,PortfolioWeight,GlobalAggregate,Power,HydroCap,Bonds,2023,210.135320046493,222.864321122911,0.0605752572846938,0.0605752572846938
Investor 1,Portfolio 1,CPS,PortfolioWeight,GlobalAggregate,Power,NuclearCap,Bonds,2023,275.011885750584,305.196674111162,0.109758122919652,0.109758122919652
Investor 1,Portfolio 1,CPS,PortfolioWeight,GlobalAggregate,Power,OilCap,Bonds,2023,22.2861257884022,26.0195345759933,0.167521660024644,0.167521660024644
Investor 1,Portfolio 1,CPS,PortfolioWeight,GlobalAggregate,Power,RenewablesCap,Bonds,2023,154.983195367342,129.354823992801,-0.16536225952624,-0.16536225952624
Investor 1,Portfolio 1,CPS,PortfolioWeight,GlobalAggregate,Power,CoalCap,Bonds,2024,166.992559729391,181.521336235467,-0.0870025378952159,0.0870025378952159
Investor 1,Portfolio 1,CPS,PortfolioWeight,GlobalAggregate,Power,GasCap,Bonds,2024,199.046440300187,196.981447724883,0.0103744260494675,-0.0103744260494675
Investor 1,Portfolio 1,CPS,PortfolioWeight,GlobalAggregate,Power,HydroCap,Bonds,2024,211.068719467325,223.735779824399,0.0600139157950195,0.0600139157950195
Investor 1,Portfolio 1,CPS,PortfolioWeight,GlobalAggregate,Power,NuclearCap,Bonds,2024,269.133008653045,306.069398594387,0.137242139588156,0.137242139588156
Investor 1,Portfolio 1,CPS,PortfolioWeight,GlobalAggregate,Power,OilCap,Bonds,2024,21.3527735915044,26.0195345759933,0.218555260022318,0.218555260022318
Investor 1,Portfolio 1,CPS,PortfolioWeight,GlobalAggregate,Power,RenewablesCap,Bonds,2024,169.833092830383,130.186144291125,-0.233446543771383,-0.233446543771383
Investor 1,Portfolio 1,NPSRTS,PortfolioWeight,Global,Automotive,Electric,Bonds,2019,3327.76888589314,3327.76888589314,0,0
Investor 1,Portfolio 1,NPSRTS,PortfolioWeight,Global,Automotive,Hybrid,Bonds,2019,7810.34414567096,7810.34414567096,0,0
Investor 1,Portfolio 1,NPSRTS,PortfolioWeight,Global,Automotive,ICE,Bonds,2019,320085.699703955,320085.699703955,0,0
Investor 1,Portfolio 1,NPSRTS,PortfolioWeight,Global,Coal,Coal,Bonds,2019,486471.228761344,486471.228761344,0,0
Investor 1,Portfolio 1,NPSRTS,PortfolioWeight,Global,Oil&Gas,Gas,Bonds,2019,208683.148894921,208683.148894921,0,0
Investor 1,Portfolio 1,NPSRTS,PortfolioWeight,Global,Oil&Gas,Oil,Bonds,2019,197009.197127662,197009.197127662,0,0
Investor 1,Portfolio 1,NPSRTS,PortfolioWeight,Global,Automotive,Electric,Bonds,2020,3594.79090909103,5991.01395612438,0.666582037072984,0.666582037072984
Investor 1,Portfolio 1,NPSRTS,PortfolioWeight,Global,Automotive,Hybrid,Bonds,2020,14499.0997049465,9746.77590752861,-0.327766819604436,-0.327766819604436
Investor 1,Portfolio 1,NPSRTS,PortfolioWeight,Global,Automotive,ICE,Bonds,2020,321870.038139579,319355.663427524,0.00781177001310119,-0.00781177001310119
Investor 1,Portfolio 1,NPSRTS,PortfolioWeight,Global,Coal,Coal,Bonds,2020,486738.68054847,491318.245747317,-0.00940867324061192,0.00940867324061192
Investor 1,Portfolio 1,NPSRTS,PortfolioWeight,Global,Oil&Gas,Gas,Bonds,2020,215502.473593191,217934.807510847,-0.0112868027781815,0.0112868027781815
Investor 1,Portfolio 1,NPSRTS,PortfolioWeight,Global,Oil&Gas,Oil,Bonds,2020,200838.587955451,204076.761283603,-0.0161232627709462,0.0161232627709462
Investor 1,Portfolio 1,NPSRTS,PortfolioWeight,Global,Automotive,Electric,Bonds,2021,3779.53387027264,10265.2955863595,1.7160215885614,1.7160215885614
Investor 1,Portfolio 1,NPSRTS,PortfolioWeight,Global,Automotive,Hybrid,Bonds,2021,22654.3529671811,10630.2151098569,-0.530765009035715,-0.530765009035715
Investor 1,Portfolio 1,NPSRTS,PortfolioWeight,Global,Automotive,ICE,Bonds,2021,324312.251384139,320412.587655628,0.0120244107703844,-0.0120244107703844
Investor 1,Portfolio 1,NPSRTS,PortfolioWeight,Global,Coal,Coal,Bonds,2021,487006.132335597,496165.262669418,-0.0188070123263032,0.0188070123263032
Investor 1,Portfolio 1,NPSRTS,PortfolioWeight,Global,Oil&Gas,Gas,Bonds,2021,222321.79829146,216657.886705746,0.0254761864524357,-0.0254761864524357
Investor 1,Portfolio 1,NPSRTS,PortfolioWeight,Global,Oil&Gas,Oil,Bonds,2021,204667.978783241,206759.141629477,-0.0102173425401901,0.0102173425401901
Investor 1,Portfolio 1,NPSRTS,PortfolioWeight,Global,Automotive,Electric,Bonds,2022,3964.27683145426,13588.0530676772,2.42762467037211,2.42762467037211
Investor 1,Portfolio 1,NPSRTS,PortfolioWeight,Global,Automotive,Hybrid,Bonds,2022,30809.6062294156,11819.6833330793,-0.616363700169772,-0.616363700169772
Investor 1,Portfolio 1,NPSRTS,PortfolioWeight,Global,Automotive,ICE,Bonds,2022,326754.4646287,319564.708004229,0.0220035451776962,-0.0220035451776962
Investor 1,Portfolio 1,NPSRTS,PortfolioWeight,Global,Coal,Coal,Bonds,2022,487273.584122723,501012.279655457,-0.0281950345358208,0.0281950345358208
Investor 1,Portfolio 1,NPSRTS,PortfolioWeight,Global,Oil&Gas,Gas,Bonds,2022,229141.12298973,215037.676052269,0.0615491743840903,-0.0615491743840903
Investor 1,Portfolio 1,NPSRTS,PortfolioWeight,Global,Oil&Gas,Oil,Bonds,2022,208497.36961103,202286.309655731,0.0297896321996087,-0.0297896321996087
Investor 1,Portfolio 1,NPSRTS,PortfolioWeight,Global,Automotive,Electric,Bonds,2023,4149.01979263587,15979.4115422868,2.85137028525361,2.85137028525361
Investor 1,Portfolio 1,NPSRTS,PortfolioWeight,Global,Automotive,Hybrid,Bonds,2023,38964.8594916501,13339.8591235717,-0.657643854036472,-0.657643854036472
Investor 1,Portfolio 1,NPSRTS,PortfolioWeight,Global,Automotive,ICE,Bonds,2023,329196.677873261,314898.859852851,0.0434324492968135,-0.0434324492968135
Investor 1,Portfolio 1,NPSRTS,PortfolioWeight,Global,Coal,Coal,Bonds,2023,487541.03590985,505859.296309578,-0.0375727560358955,0.0375727560358955
Investor 1,Portfolio 1,NPSRTS,PortfolioWeight,Global,Oil&Gas,Gas,Bonds,2023,235960.447687999,209666.489081124,0.111433754531787,-0.111433754531787
Investor 1,Portfolio 1,NPSRTS,PortfolioWeight,Global,Oil&Gas,Oil,Bonds,2023,212326.760438819,198505.03282312,0.0650964936644473,-0.0650964936644473
Investor 1,Portfolio 1,NPSRTS,PortfolioWeight,Global,Automotive,Electric,Bonds,2024,4333.76275381748,17084.3104942085,2.94214253633507,2.94214253633507
Investor 1,Portfolio 1,NPSRTS,PortfolioWeight,Global,Automotive,Hybrid,Bonds,2024,47120.1127538847,14560.1663766606,-0.690998906290599,-0.690998906290599
Investor 1,Portfolio 1,NPSRTS,PortfolioWeight,Global,Automotive,ICE,Bonds,2024,331638.891117822,314052.487748922,0.0530287726798947,-0.0530287726798947
Investor 1,Portfolio 1,NPSRTS,PortfolioWeight,Global,Coal,Coal,Bonds,2024,487808.487696976,510706.313286036,-0.0469401951105103,0.0469401951105103
Investor 1,Portfolio 1,NPSRTS,PortfolioWeight,Global,Oil&Gas,Gas,Bonds,2024,242779.772386269,206317.445626004,0.150186839710241,-0.150186839710241
Investor 1,Portfolio 1,NPSRTS,PortfolioWeight,Global,Oil&Gas,Oil,Bonds,2024,216156.151266608,194313.837197021,0.101048773960848,-0.101048773960848
Investor 1,Portfolio 1,NPSRTS,PortfolioWeight,GlobalAggregate,Power,CoalCap,Bonds,2019,168.312842025646,168.312842025646,0,0
Investor 1,Portfolio 1,NPSRTS,PortfolioWeight,GlobalAggregate,Power,GasCap,Bonds,2019,171.610671051558,171.610671051558,0,0
Investor 1,Portfolio 1,NPSRTS,PortfolioWeight,GlobalAggregate,Power,HydroCap,Bonds,2019,206.401722363167,206.401722363167,0,0
Investor 1,Portfolio 1,NPSRTS,PortfolioWeight,GlobalAggregate,Power,NuclearCap,Bonds,2019,298.527394140739,298.527394140739,0,0
Investor 1,Portfolio 1,NPSRTS,PortfolioWeight,GlobalAggregate,Power,OilCap,Bonds,2019,26.0195345759933,26.0195345759933,0,0
